first_name,last_name,gender,birthday,name,type,party,start_date,end_date,congress_numbers,state
sherrod,brown,M,1952-11-09,Sherrod Brown,sen,Democrat,2019-01-03,2025-01-03,"[116, 117, 118]",ohio
maria,cantwell,F,1958-10-13,Maria Cantwell,sen,Democrat,2019-01-03,2025-01-03,"[116, 117, 118]",washington
benjamin,cardin,M,1943-10-05,Benjamin L. Cardin,sen,Democrat,2019-01-03,2025-01-03,"[116, 117, 118]",maryland
thomas,carper,M,1947-01-23,Thomas R. Carper,sen,Democrat,2019-01-03,2025-01-03,"[116, 117, 118]",delaware
robert,casey,M,1960-04-13,"Robert P. Casey, Jr.",sen,Democrat,2019-01-03,2025-01-03,"[116, 117, 118]",pennsylvania
amy,klobuchar,F,1960-05-25,Amy Klobuchar,sen,Democrat,2019-01-03,2025-01-03,"[116, 117, 118]",minnesota
bernard,sanders,M,1941-09-08,Bernard Sanders,sen,Independent,2019-01-03,2025-01-03,"[116, 117, 118]",vermont
debbie,stabenow,F,1950-04-29,Debbie Stabenow,sen,Democrat,2019-01-03,2025-01-03,"[116, 117, 118]",michigan
jon,tester,M,1956-08-21,Jon Tester,sen,Democrat,2019-01-03,2025-01-03,"[116, 117, 118]",montana
sheldon,whitehouse,M,1955-10-20,Sheldon Whitehouse,sen,Democrat,2019-01-03,2025-01-03,"[116, 117, 118]",rhode island
john,barrasso,M,1952-07-21,John Barrasso,sen,Republican,2019-01-03,2025-01-03,"[116, 117, 118]",wyoming
roger,wicker,M,1951-07-05,Roger F. Wicker,sen,Republican,2019-01-03,2025-01-03,"[116, 117, 118]",mississippi
susan,collins,F,1952-12-07,Susan M. Collins,sen,Republican,2021-01-03,2027-01-03,"[117, 118, 119]",maine
john,cornyn,M,1952-02-02,John Cornyn,sen,Republican,2021-01-03,2027-01-03,"[117, 118, 119]",texas
richard,durbin,M,1944-11-21,Richard J. Durbin,sen,Democrat,2021-01-03,2027-01-03,"[117, 118, 119]",illinois
lindsey,graham,M,1955-07-09,Lindsey Graham,sen,Republican,2021-01-03,2027-01-03,"[117, 118, 119]",south carolina
mitch,mcconnell,M,1942-02-20,Mitch McConnell,sen,Republican,2021-01-03,2027-01-03,"[117, 118, 119]",kentucky
jeff,merkley,M,1956-10-24,Jeff Merkley,sen,Democrat,2021-01-03,2027-01-03,"[117, 118, 119]",oregon
john,reed,M,1949-11-12,Jack Reed,sen,Democrat,2021-01-03,2027-01-03,"[117, 118, 119]",rhode island
james,risch,M,1943-05-03,James E. Risch,sen,Republican,2021-01-03,2027-01-03,"[117, 118, 119]",idaho
jeanne,shaheen,F,1947-01-28,Jeanne Shaheen,sen,Democrat,2021-01-03,2027-01-03,"[117, 118, 119]",new hampshire
mark,warner,M,1954-12-15,Mark R. Warner,sen,Democrat,2021-01-03,2027-01-03,"[117, 118, 119]",virginia
kirsten,gillibrand,F,1966-12-09,Kirsten E. Gillibrand,sen,Democrat,2019-01-03,2025-01-03,"[116, 117, 118]",new york
christopher,coons,M,1963-09-09,Christopher A. Coons,sen,Democrat,2021-01-03,2027-01-03,"[117, 118, 119]",delaware
joe,manchin,M,1947-08-24,"Joe Manchin, III",sen,Independent,2019-01-03,2025-01-03,"[116, 117, 118]",west virginia
robert,aderholt,M,1965-07-22,Robert B. Aderholt,rep,Republican,2021-01-03,2023-01-03,[117],alabama
tammy,baldwin,F,1962-02-11,Tammy Baldwin,sen,Democrat,2019-01-03,2025-01-03,"[116, 117, 118]",wisconsin
michael,bennet,M,1964-11-28,Michael F. Bennet,sen,Democrat,2017-01-03,2023-01-03,"[115, 116, 117]",colorado
gus,bilirakis,M,1963-02-08,Gus M. Bilirakis,rep,Republican,2021-01-03,2023-01-03,[117],florida
sanford,bishop,M,1947-02-04,"Sanford D. Bishop, Jr.",rep,Democrat,2021-01-03,2023-01-03,[117],georgia
marsha,blackburn,F,1952-06-06,Marsha Blackburn,sen,Republican,2019-01-03,2025-01-03,"[116, 117, 118]",tennessee
earl,blumenauer,M,1948-08-16,Earl Blumenauer,rep,Democrat,2021-01-03,2023-01-03,[117],oregon
richard,blumenthal,M,1946-02-13,Richard Blumenthal,sen,Democrat,2017-01-03,2023-01-03,"[115, 116, 117]",connecticut
john,boozman,M,1950-12-10,John Boozman,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",arkansas
vern,buchanan,M,1951-05-08,Vern Buchanan,rep,Republican,2021-01-03,2023-01-03,[117],florida
larry,bucshon,M,1962-05-31,Larry Bucshon,rep,Republican,2021-01-03,2023-01-03,[117],indiana
michael,burgess,M,1950-12-23,Michael C. Burgess,rep,Republican,2021-01-03,2023-01-03,[117],texas
ken,calvert,M,1953-06-08,Ken Calvert,rep,Republican,2021-01-03,2023-01-03,[117],california
